1. Time,2. q_1,3. q_2,4. q_3,5. q_4,6. q_5,7. q_6,8. q_7,9. O_T_EE_11,10. O_T_EE_21,11. O_T_EE_31,12. O_T_EE_41,13. O_T_EE_12,14. O_T_EE_22,15. O_T_EE_32,16. O_T_EE_42,17. O_T_EE_13,18. O_T_EE_23,19. O_T_EE_33,20. O_T_EE_43,21. O_T_EE_14,22. O_T_EE_24,23. O_T_EE_34,24. O_T_EE_44,25. q_1_d,26. q_2_d,27. q_3_d,28. q_4_d,29. q_5_d,30. q_6_d,31. q_7_d,32. dq_1,33. dq_2,34. dq_3,35. dq_4,36. dq_5,37. dq_6,38. dq_7,39. dq_1_d,40. dq_2_d,41. dq_3_d,42. dq_4_d,43. dq_5_d,44. dq_6_d,45. dq_7_d,46. tau_J_1,47. tau_J_2,48. tau_J_3,49. tau_J_4,50. tau_J_5,51. tau_J_6,52. tau_J_7,53. joint_contact_1,54. joint_contact_2,55. joint_contact_3,56. joint_contact_4,57. joint_contact_5,58. joint_contact_6,59. joint_contact_7,60. joint_collision_1,61. joint_collision_2,62. joint_collision_3,63. joint_collision_4,64. joint_collision_5,65. joint_collision_6,66. joint_collision_7,67. cartesian_contact_x,68. cartesian_contact_y,69. cartesian_contact_z,70. cartesian_contact_R,71. cartesian_contact_P,72. cartesian_contact_Y,73. cartesian_collision_x,74. cartesian_collision_y,75. cartesian_collision_z,76. cartesian_collision_R,77. cartesian_collision_P,78. cartesian_collision_Y,79. tau_ext_1,80. tau_ext_2,81. tau_ext_3,82. tau_ext_4,83. tau_ext_5,84. tau_ext_6,85. tau_ext_7,86. O_F_ext_x,87. O_F_ext_y,88. O_F_ext_z,89. O_F_ext_R,90. O_F_ext_P,91. O_F_ext_Y,92. Gripper Width,93. Object Grasped
28515.8,1.19829,0.328408,1.0627,-2.05579,-1.32419,0.958354,0.0122619,-0.040985,-0.036991,-0.998465,0,-0.0502248,0.998118,-0.0349165,0,0.997897,0.0487176,-0.0427666,0,-0.0687324,0.47642,0.385421,1,1.19823,0.328401,1.06269,-2.0556,-1.32419,0.958258,0.0122597,-0.000158137,0.00115269,0.000175926,-0.000702986,1.86279e-05,-0.000149107,0.000688321,0,0,0,0,0,0,0,-0.498041,-23.3414,7.14687,19.235,-1.4199,-1.37404,0.0892211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.319691,-0.491205,-0.0625234,1.23931,-0.0714964,-0.239131,0.117092,-1.46191,2.13202,1.41369,-0.0807336,-0.310165,-0.268242,0.0798559,0
28515.8,1.19829,0.328405,1.0627,-2.05579,-1.32418,0.958355,0.0122619,-0.0409859,-0.0369873,-0.998465,0,-0.0502139,0.998118,-0.0349133,0,0.997897,0.0487068,-0.0427669,0,-0.0687279,0.476421,0.385422,1,1.19823,0.328401,1.06269,-2.0556,-1.32419,0.958258,0.0122597,0.000497281,-0.000136156,-0.000122977,7.86568e-05,0.000401615,0.000144891,0.000845368,0,0,0,0,0,0,0,-0.422662,-23.3017,7.22225,19.1953,-1.42905,-1.38411,0.0892211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.394268,-0.474884,-0.135669,1.22866,-0.0669758,-0.249315,0.1167,-1.31639,2.15324,1.38301,-0.103968,-0.256663,-0.343803,0.0798559,0
28515.8,1.19829,0.328402,1.0627,-2.0558,-1.32418,0.958354,0.0122586,-0.0409819,-0.0369928,-0.998465,0,-0.0502135,0.998118,-0.034919,0,0.997897,0.0487064,-0.0427631,0,-0.0687276,0.47642,0.385422,1,1.19823,0.328401,1.06269,-2.0556,-1.32419,0.958258,0.0122597,1.99833e-05,-0.00139906,0.00040885,0.00127532,0.000750696,9.56459e-05,-0.000672966,0,0,0,0,0,0,0,-0.422662,-23.2621,7.22225,19.235,-1.44645,-1.37404,0.119434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.406604,-0.449051,-0.144908,1.19279,-0.062976,-0.254908,0.118782,-1.28363,2.11629,1.30951,-0.122482,-0.261715,-0.35119,0.0798559,0
28515.9,1.19829,0.328405,1.06269,-2.0558,-1.32418,0.958352,0.0122619,-0.0409764,-0.0369964,-0.998465,0,-0.0502058,0.998118,-0.0349232,0,0.997898,0.0486987,-0.0427576,0,-0.0687237,0.476419,0.385419,1,1.19823,0.328401,1.06269,-2.0556,-1.32419,0.958258,0.0122597,0.000896581,4.28791e-05,-0.000772404,-0.000337938,0.000234428,-0.000163522,-0.000452867,0,0,0,0,0,0,0,-0.422662,-23.3017,7.33333,19.3064,-1.44645,-1.35481,0.0892211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.406538,-0.48459,-0.121476,1.26424,-0.0754557,-0.247514,0.118431,-1.32921,2.20619,1.43654,-0.0992414,-0.243783,-0.347865,0.0798559,0
28515.9,1.19828,0.32841,1.06269,-2.0558,-1.32418,0.95835,0.0122586,-0.0409787,-0.0369997,-0.998465,0,-0.050199,0.998119,-0.0349266,0,0.997898,0.0486916,-0.0427598,0,-0.068721,0.476421,0.385419,1,1.19823,0.328401,1.06269,-2.0556,-1.32419,0.958258,0.0122597,-0.000336794,0.00125729,0.00126517,-7.63468e-06,0.00213476,0.000725346,-0.0010541,0,0,0,0,0,0,0,-0.351251,-23.3771,7.29762,19.2707,-1.42905,-1.37404,0.119434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.386995,-0.489227,-0.0920149,1.27884,-0.0821252,-0.240575,0.115308,-1.37598,2.23056,1.46661,-0.0980986,-0.254703,-0.324464,0.0798559,0
28516,1.19829,0.32841,1.06269,-2.0558,-1.32418,0.958352,0.0122563,-0.0409779,-0.0370045,-0.998465,0,-0.0502042,0.998118,-0.0349313,0,0.997898,0.0486966,-0.0427594,0,-0.0687224,0.47642,0.385417,1,1.19823,0.328401,1.06269,-2.0556,-1.32419,0.958258,0.0122597,0.000707669,0.000485884,0.000236749,-0.000905683,-4.78303e-05,-0.000259686,-0.00163923,0,0,0,0,0,0,0,-0.386957,-23.3771,7.33333,19.3064,-1.42905,-1.35481,0.139575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.366003,-0.49652,-0.0603809,1.26747,-0.0738354,-0.238519,0.112367,-1.37334,2.13448,1.49398,-0.0511372,-0.239889,-0.30083,0.0798559,0
28516,1.19829,0.32841,1.06269,-2.0558,-1.32418,0.958352,0.0122674,-0.0409777,-0.0369958,-0.998465,0,-0.050206,0.998118,-0.0349224,0,0.997898,0.0486988,-0.0427589,0,-0.0687234,0.476419,0.385417,1,1.19823,0.328401,1.06269,-2.0556,-1.32419,0.958258,0.0122597,0.000777512,0.000418495,-0.000229614,-0.0014162,0.000339176,-0.000434002,0.00284974,0,0,0,0,0,0,0,-0.422662,-23.3771,7.33333,19.3461,-1.43821,-1.35481,0.0397827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.380405,-0.500728,-0.0565093,1.28398,-0.0737193,-0.236453,0.111621,-1.35091,2.13984,1.52959,-0.0382925,-0.214237,-0.31053,0.0798559,0
28516,1.19829,0.32841,1.06268,-2.0558,-1.32418,0.958351,0.0122575,-0.040976,-0.0370043,-0.998465,0,-0.0501955,0.998119,-0.0349315,0,0.997898,0.048688,-0.0427572,0,-0.068719,0.47642,0.385417,1,1.19823,0.328401,1.06269,-2.0556,-1.32419,0.958258,0.0122597,-9.29487e-05,0.00113814,-0.00163329,0.00121467,0.000215226,-7.29238e-05,-0.00170586,0,0,0,0,0,0,0,-0.386957,-23.3771,7.40871,19.3064,-1.43821,-1.34474,0.129504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.377742,-0.513308,-0.0487283,1.30474,-0.0763853,-0.232556,0.112052,-1.36101,2.15642,1.56957,-0.0257059,-0.205414,-0.308117,0.0798559,0
28516.1,1.19828,0.32841,1.06267,-2.0558,-1.32418,0.95835,0.0122608,-0.0409749,-0.037001,-0.998465,0,-0.0501874,0.998119,-0.0349286,0,0.997899,0.0486801,-0.0427557,0,-0.0687155,0.476421,0.385417,1,1.19823,0.328401,1.06269,-2.0556,-1.32419,0.958258,0.0122597,6.01481e-05,-0.000408708,-0.00112954,0.00128098,0.000294903,0.00196154,-0.000193912,0,0,0,0,0,0,0,-0.351251,-23.3771,7.48409,19.3064,-1.43821,-1.35481,0.099292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.376686,-0.540193,-0.0173284,1.32891,-0.0774542,-0.231613,0.110919,-1.33771,2.1003,1.66666,0.0394722,-0.163481,-0.300388,0.0798559,0
28516.1,1.19829,0.328414,1.06268,-2.0558,-1.32418,0.958349,0.0122586,-0.0409768,-0.0370054,-0.998465,0,-0.0501974,0.998119,-0.0349325,0,0.997898,0.0486899,-0.0427581,0,-0.0687199,0.476421,0.385416,1,1.19823,0.328401,1.06269,-2.0556,-1.32419,0.958258,0.0122597,0.000871199,0.00114385,-0.000584749,0.00139601,-0.000240609,-0.0002537,-0.00081048,0,0,0,0,0,0,0,-0.386957,-23.4168,7.40871,19.3064,-1.42905,-1.33467,0.119434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.36502,-0.545413,0.015384,1.34307,-0.0761418,-0.222569,0.116257,-1.35619,2.07231,1.69125,0.0658625,-0.150679,-0.282368,0.0798559,0
